municipality_code,prefecture,municipality_name,reading_hiragana,municipality_category,name_short,reading_short
011002,北海道,札幌市,さっぽろし,市,札幌,さっぽろ
012025,北海道,函館市,はこだてし,市,函館,はこだて
012033,北海道,小樽市,おたるし,市,小樽,おたる
012041,北海道,旭川市,あさひかわし,市,旭川,あさひかわ
012050,北海道,室蘭市,むろらんし,市,室蘭,むろらん
012068,北海道,釧路市,くしろし,市,釧路,くしろ
012076,北海道,帯広市,おびひろし,市,帯広,おびひろ
012084,北海道,北見市,きたみし,市,北見,きたみ
012092,北海道,夕張市,ゆうばりし,市,夕張,ゆうばり
012106,北海道,岩見沢市,いわみざわし,市,岩見沢,いわみざわ
012114,北海道,網走市,あばしりし,市,網走,あばしり
012122,北海道,留萌市,るもいし,市,留萌,るもい
012131,北海道,苫小牧市,とまこまいし,市,苫小牧,とまこまい
012149,北海道,稚内市,わっかないし,市,稚内,わっかない
012157,北海道,美唄市,びばいし,市,美唄,びばい
012165,北海道,芦別市,あしべつし,市,芦別,あしべつ
012173,北海道,江別市,えべつし,市,江別,えべつ
012181,北海道,赤平市,あかびらし,市,赤平,あかびら
012190,北海道,紋別市,もんべつし,市,紋別,もんべつ
012203,北海道,士別市,しべつし,市,士別,しべつ
012211,北海道,名寄市,なよろし,市,名寄,なよろ
012220,北海道,三笠市,みかさし,市,三笠,みかさ
012238,北海道,根室市,ねむろし,市,根室,ねむろ
012246,北海道,千歳市,ちとせし,市,千歳,ちとせ
012254,北海道,滝川市,たきかわし,市,滝川,たきかわ
012262,北海道,砂川市,すながわし,市,砂川,すながわ
012271,北海道,歌志内市,うたしないし,市,歌志内,うたしない
012289,北海道,深川市,ふかがわし,市,深川,ふかがわ
012297,北海道,富良野市,ふらのし,市,富良野,ふらの
012301,北海道,登別市,のぼりべつし,市,登別,のぼりべつ
012319,北海道,恵庭市,えにわし,市,恵庭,えにわ
012335,北海道,伊達市,だてし,市,伊達,だて
012343,北海道,北広島市,きたひろしまし,市,北広島,きたひろしま
012351,北海道,石狩市,いしかりし,市,石狩,いしかり
012360,北海道,北斗市,ほくとし,市,北斗,ほくと
013030,北海道,当別町,とうべつちょう,町,当別,とうべつ
