municipality_code,prefecture,municipality_name,reading_katakana
011002,北海道,札幌市,さっぽろし
012025,北海道,函館市,はこだてし
012033,北海道,小樽市,おたるし
012041,北海道,旭川市,あさひかわし
012050,北海道,室蘭市,むろらんし
012068,北海道,釧路市,くしろし
012076,北海道,帯広市,おびひろし
012084,北海道,北見市,きたみし
012092,北海道,夕張市,ゆうばりし
012106,北海道,岩見沢市,いわみざわし
012114,北海道,網走市,あばしりし
012122,北海道,留萌市,るもいし
012131,北海道,苫小牧市,とまこまいし
012149,北海道,稚内市,わっかないし
012157,北海道,美唄市,びばいし
012165,北海道,芦別市,あしべつし
012173,北海道,江別市,えべつし
012181,北海道,赤平市,あかびらし
012190,北海道,紋別市,もんべつし
012203,北海道,士別市,しべつし
012211,北海道,名寄市,なよろし
012220,北海道,三笠市,みかさし
012238,北海道,根室市,ねむろし
012246,北海道,千歳市,ちとせし
012254,北海道,滝川市,たきかわし
012262,北海道,砂川市,すながわし
012271,北海道,歌志内市,うたしないし
012289,北海道,深川市,ふかがわし
012297,北海道,富良野市,ふらのし
012301,北海道,登別市,のぼりべつし
012319,北海道,恵庭市,えにわし
012335,北海道,伊達市,だてし
012343,北海道,北広島市,きたひろしまし
012351,北海道,石狩市,いしかりし
012360,北海道,北斗市,ほくとし
013030,北海道,当別町,とうべつちょう
013048,北海道,新篠津村,しんしのつむら
013315,北海道,松前町,まつまえちょう
013323,北海道,福島町,ふくしまちょう
013331,北海道,知内町,しりうちちょう
013340,北海道,木古内町,きこないちょう
013374,北海道,七飯町,ななえちょう
013439,北海道,鹿部町,しかべちょう
013455,北海道,森町,もりまち
013463,北海道,八雲町,やくもちょう
013471,北海道,長万部町,おしゃまんべちょう
013617,北海道,江差町,えさしちょう
013625,北海道,上ノ国町,かみのくにちょう
013633,北海道,厚沢部町,あっさぶちょう
013641,北海道,乙部町,おとべちょう
013676,北海道,奥尻町,おくしりちょう
013706,北海道,今金町,いまかねちょう
013714,北海道,せたな町,せたなちょう
013919,北海道,島牧村,しままきむら
013927,北海道,寿都町,すっつちょう
